kimble_id,resource_bu,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,month_end_title,client_unit,legal_entity,month_end_helper,adjustments,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
KE012393-001,PSU PL,,413.8,413.8,413.8,413.8,413.8,413.8,413.8,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012419-001,PSU PL,,,,350,350,350,350,350,350,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012513-001,PSU UK,,,1157.89,1165.09,1166.67,1211.54,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012518-001,PSU PL,,,569,569,569,569,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012518-001,PSU UK,,,1250,1250,1250,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012521-001,PSU PL,,,700,700,700,700,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012536-001,PSU PL,0,0,0,0,0,0,0,0,0,0,0,0,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012536-001,PSU UK,0,0,0,0,0,0,0,0,0,0,0,0,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012536-002,PSU UK,0,0,0,0,0,0,0,0,0,0,0,0,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012536-003,PSU PL,,0,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012536-003,PSU UK,0,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
